Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,DeoDap International Private Limited
1753-mobile-stand-for-different-mobile-set-1,1753 Mobile Stand For Different Mobile Set,Title,Default Title,,,,,1753_Mobile_Stand_TDJ_98,,,283
zig-zag-silver-storage-container-gift-set-for-kitchen-12-pcs,1754 Zig zag Silver Storage Container Gift Set For Kitchen 12 Pcs,Title,Default Title,,,,,1754_12Pc_Storage_Container,,,0
4701-apple-shape-mobile-holder-multi-angle-adjustable-fold,4701 Mobile Holder Multi Angle Adjustable Fold (Pack Of 10 Pc),Title,Default Title,,,,,4701_Portable_Mobile_Stand,,,362
4702-apple-shape-mobile-holder-multi-angle-adjustable-fold,4702 Apple Shape Mobile Holder Multi Angle Adjustable Fold (40 pc),Title,Default Title,,,,,4702_Fancy_Apple_Mob_Stand,,,66
2580-airtight-kitchen-container-for-multipurpose-use,2580 Airtight Kitchen Container for Multipurpose Use 600ml,Title,Default Title,,,,,2580_Squ_Modular_Container,,,272
2584-fridge-bags-for-fruits-and-vegetables-with-zip-net-multicolour,2584 Fridge Bags for Fruits and Vegetables with Zip Net (Multicolour),Title,Default Title,,,,,2584_3Pc_Fridge_Net_Bag,,,23
6003-fast-charging-power-adaptor-without-cable-for-devices,6003 Fast Charging Power Adaptor Without Cable for Devices,Title,Default Title,,,,,6003_Mobile_Adapter_YE_013,,,0
1703-yoga-mat-for-comfort-yoga-anti-skid-surface-mat-1,1703 Yoga Mat for Comfort Yoga / Anti-Skid Surface Mat,Title,Default Title,,,,,1703_6mm_yogamat_60X180_Cm,,,0
7509-square-head-professional-render-plastering-trowel-smooth-trowel-14-inch,"7509 Square Head Professional Render Plastering Trowel, Smooth Trowel 14 Inch",Title,Default Title,,,,,7509_RH_Squ_Edged_Trowel,,,182
multipurpose-rubber-reusable-cleaning-gloves,0680 Multipurpose Rubber Reusable Cleaning Gloves,Title,Default Title,,,,,0680_Yellow_Gloves_60Gm,,,4054
0223-2-in-1-plastic-cleaning-brush-toilet-brush-with-holder,0223 -2 in 1 Plastic Cleaning Brush Toilet Brush with Holder,Title,Default Title,,,,,0223_toilet_brush,,,57
2139-automatic-push-toothpaste-squeezer-dispenser,2139 Automatic Push Toothpaste Squeezer Dispenser,Title,Default Title,,,,,2139_Magic_Toothpaste_Disp,,,2950
4698-magnetic-wall-mounted-mop-broom-hanger-holder,4698  Magnetic Car Phone Holder for Smartphone Mobile,Title,Default Title,,,,,4698_Magnetic_C_Mob_Holder,,,0
multipurpose-masala-spice-rack-container-set-of-2-pcs,2583 Multipurpose Masala/Spice Rack Container - Set of 2 Pcs,Title,Default Title,,,,,2583_2Pc_Stylish_Rack,,,1150
6007-wall-mounted-mop-broom-hanger-holder,6007 Car Steering Wheel Mobile Holder,Title,Default Title,,,,,6007_C_Mob_Holder_RM_C11,,,523
1752-twin-door-draft-stopper-guard-protector-for-doors-and-windows,1752 Twin Door Draft Stopper/Guard Protector for Doors and Windows,Title,Default Title,,,,,1752_36inch_Door_D_Guard,,,641
1751-twin-door-draft-stopper-guard-protector-for-doors-and-windows,1751 Twin Door Draft Stopper/Guard Protector for Doors and Windows,Title,Default Title,,,,,1751_42inch_Door_D_Guard,,,340
1750-plastic-unbreakable-soap-dish-tooth-brush-paste-holder,1750 Plastic Unbreakable Soap Dish Tooth Brush Paste Holder,Title,Default Title,,,,,1750_4in1_Wall_Mount_Stand,,,501
2581-manual-aluminium-fruit-press-juicer,2581 Manual Aluminium Fruit Press Juicer,Title,Default Title,,,,,2581_Black_Alu_Fruit_Press,,,59
7503-professional-render-plastering-trowel-smooth-trowel-13-inch,"7503 Professional Render Plastering Trowel, Smooth Trowel 13 Inch",Title,Default Title,,,,,7503_BH2_Squ_Edged_Trowel,,,189
1749-cycling-bicycle-pump-high-pressure-car-basketball-mountain-bike-pump-1,1749 Cycling Bicycle Pump High Pressure Car Basketball Mountain Bike Pump,Title,Default Title,,,,,1749_22inch_Cycle_Air_Pump,,,0
7504-round-professional-render-plastering-trowel-smooth-trowel-13-inch,"7504 Round Professional Render Plastering Trowel, Smooth Trowel 13 Inch",Title,Default Title,,,,,7504_Round_Nose_PH_Trowel,,,177
7032a_k_450ml_green_chopper,"7032A Manual Hand Held Vegetable Chopper, Cutter, Slicer with Storage Lid - 450 ml",Title,Default Title,,,,,7032A_K_450Ml_Green_Chopper,,,796
2582-plastic-fridge-water-set-with-steel-finish-cap-3-pieces-1-litre,2582 Plastic Fridge Water Set With Steel Finish Cap (3 Pieces 1 litre),Title,Default Title,,,,,2582_3Pc_Steel_Cap_Bottle,,,118
6006-universal-silicone-sucker-long-neck-car-mobile-phone-holder,6006 Universal Silicone Sucker Long Neck Car Mobile Phone Holder,Title,Default Title,,,,,6006_Car_Phone_Mount_Holder,,,0
6005-plastic-non-slip-folding-toilet-squat-stool-white-color,6005 Plastic Non-Slip Folding Toilet Squat Stool - White Color,Title,Default Title,,,,,6005_Toilet_Folding_Stool,,,581
7220-designer-mobile-pop-holder,7220 Designer Mobile Pop Holder (100 units),Title,Default Title,,,,,7220_100Pc_Mobile_Pop,,,43
7502-professional-render-plastering-trowel-smooth-trowel-12-inch,"7502 Professional Render Plastering Trowel, Smooth Trowel 12 Inch",Title,Default Title,,,,,7502_BH1_Squ_Edged_Trowel,,,190
7501-professional-render-plastering-trowel-smooth-trowel-14-inch,"7501 Professional Render Plastering Trowel, Smooth Trowel 14 Inch",Title,Default Title,,,,,7501_Squ_Edged_PH_Trowel,,,171
0429-8-inch-magnetic-torpedo-level-with-1-direction-pin-2-vials-and-360-degree-view,"0429 8-inch Magnetic Torpedo Level with 1 Direction Pin, 2 Vials and 360 Degree View",Title,Default Title,,,,,0429_torpedo_level_8in,,,164
6004-plastic-candle-cup-with-multi-shape-multicolor,6004 Plastic Candle Cup with Multi Shape  (Multicolor),Title,Default Title,,,,,6004_12PC_Plastic_Candle_Cup,,,2667
0418-multi-use-plastic-cutter-with-plastic-cutting-blade-and-precision-knife-blade,0418 Multi-Use Plastic Cutter with Plastic Cutting Blade and Precision Knife Blade,Title,Default Title,,,,,0418_accrelic_cutter,,,2757
2576-stainless-kitchen-tool-set-butcher-knife-standard-knife-peeler-and-kitchen-scissor-4-pcs,"2576 Stainless Kitchen Tool Set (Butcher Knife, Standard Knife, Peeler and Kitchen Scissor) - 4 Pcs",Title,Default Title,,,,,2576_Knife_Set_4pc,,,689
grey-chopper,7032 Multipurpose Manual Hand  Chopper with Storage Lid - 400ml (Grey Color),Title,Default Title,,,,,7032_K_450Ml_Grey_Chopper,,,0
2180a-2-in-1-handy-vegetable-chopper-cutter-with-5-blades-1000-ml,2180A 2 in 1 Handy Vegetable Chopper/Cutter with 5 Blades (1000 Ml),Title,Default Title,,,,,2180A_2In1_5Blade_Chopper_1Ltr,,,82
0242-waterproof-disposable-raincoat-1,0242 Waterproof Disposable Raincoat,Title,Default Title,,,,,0242_Disposable_Rain_Coat,,,169
0065a-manual-stainless-steel-compact-extra-sharp-vegetable-chopper-with-5-blades-750-ml,0065A Manual Stainless Steel Compact Extra Sharp Vegetable Chopper with 5 Blades (750 ml),Title,Default Title,,,,,0065A_5_Blades_Handy_Chopper,,,671
6002-fast-charging-power-adaptor-without-cable-for-devices,6002 Fast Charging Power Adaptor Without Cable for Devices,Title,Default Title,,,,,6002_Mobile_Adapter_4G,,,0
1498-fast-charging-power-adaptor-without-cable-for-devices,1498 Fast Charging Power Adaptor Without Cable for Devices,Title,Default Title,,,,,1498_Mobile_Adapter_WL_619,,,0
2566-safe-round-mixing-glass-bowl-for-kitchen-storage-set-of-6-pieces,2566 Safe Round Mixing Glass Bowl for Kitchen Storage (Set of 6 Pieces),Title,Default Title,,,,,2566_6Pc_Glass_Bowl_Set,,,114
7508-round-nose-professional-render-plastering-trowel-smooth-trowel-13-inch,"7508 Round Nose Professional Render Plastering Trowel, Smooth Trowel 13 Inch",Title,Default Title,,,,,7508_RH_Round_Nose_Trowel,,,193
0829-silicone-star-shaped-sink-filter-bathroom-hair-catcher-drain-strainers-for-basin-2,0829 Silicone Star Shaped Sink Filter Bathroom Hair Catcher Drain Strainers for Basin,Title,Default Title,,,,,0829_Star_Sink_Strainer,,,12104
2067-silicone-heat-resistant-cooking-potholder-for-kitchen-cooking-baking-1-pc-2,2067 Silicone Heat Resistant Cooking Potholder for Kitchen Cooking & Baking 1 Pc,Title,Default Title,,,,,2067_Kitchen_Pot_Holder_1pc,,,9477
7030-stainless-steel-garlic-press-crusher-1,7030  Stainless Steel Garlic Press Crusher,Title,Default Title,,,,,7030_Loose_SS_Garlic_Press,,,8410
2577-manual-food-cho2577-manual-food-chopper-compact-powerful-hand-held-vegetable-chopper-blender-900mlpper-compact-powerful-hand-held-vegetable-chopper-blender-900ml,"2197 Manual Food Chopper, Compact & Powerful Hand Held Vegetable Chopper(900ml)",Title,Default Title,,,,,2197_2in1_Jumbo_Chopper_900Ml,,,56
foldable-black-table,8008L Foldable Black Table (Loose Pack),Title,Default Title,,,,,8008L_Black_LTT_09,,,0
4697-3-layer-shower-caddy-for-bathroom-hanging,4697 3 Layer Shower Caddy For Bathroom Hanging,Title,Default Title,,,,,4697_3Layer_Shower_Caddy,,,151
4601-rotatable-hooks-for-hanging-360,4601 rotatable hooks for hanging 360,Title,Default Title,,,,,4601_360_D_Rotatable_Hook,,,8734
festival-decorative-led-tealight-candles-white-24-pcs,"7221 Festival Decorative - LED Tealight Candles (White, 24 Pcs)",Title,Default Title,,,,,7221_White_Color_Tealight,,,0
1290-smart-universal-phone-holder-mobile-stand-for-car,"1290 Smart Universal Phone Holder, Mobile Stand for Car",Title,Default Title,,,,,1290_Car_Air_Mount_JHD_113,,,29
1289-all-universal-tablet-mobile-holder-with-anti-slip-anti-scratch-design,1289 All Universal Tablet & Mobile Holder with Anti-Slip & Anti-Scratch Design,Title,Default Title,,,,,1289_Tablet_Holder_RM_C16,,,0
8007-avengers-foldable-laptop-table-for-online-study-and-childrens,8007L Avengers Foldable Laptop Table for Online Study (Loose Pack),Title,Default Title,,,,,8007L_Avengers_LTT_07,,,0
8006-multipurpose-foldable-laptop-table-loose,8006L Multipurpose Foldable Laptop Table (Loose Pack),Title,Default Title,,,,,8006L_Brabie_LTT_05,,,0
0587-5-in-1-multipurpose-plastic-hanger-assorted-5-layer,"0587 5 in 1 Multipurpose Plastic Hanger, Assorted (5-Layer)",Title,Default Title,,,,,0587_5In1_Plain_Hanger,,,1601
8004-multipurpose-foldable-laptop-table-1,8004L Multipurpose Foldable Laptop Table (Loose Pack),Title,Default Title,,,,,8004L_Ludo_LTT_03,,,0
0122-plastic-spice-jars-6-pcs-14x22x8cm-multicolour,"0122 Plastic Spice Jars (6 pcs, 14x22x8cm, Multicolour)",Title,Default Title,,,,,0122_g_jar_set_6pc,,,2166
8003-multipurpose-foldable-laptop-table-1,8003L Multipurpose Foldable Laptop Table (Loose Pack),Title,Default Title,,,,,8003L_Flower_LTT_01,,,0
1748-bricklaying-trowel-wooden-handle-round-shape-14-inch,1748 Bricklaying trowel wooden handle round shape (14 Inch),Title,Default Title,,,,,1748_14in_Bricklaying_Trowel,,,163
1683-motorcycle-accessories-flat-tire-booster-two-three-wheel-flat-tire-emergency-power-booster-multi-color-1-pcs-set,1683 Motorcycle Two-Three-Wheel Flat tire Emergency Power Booster,Title,Default Title,,,,,1683_Emergency_Wheel_Puller,,,485
7612-garden-genie-gloves-1,7612 Garden Genie Gloves,Title,Default Title,,,,,7612_Brown_Garden_Gloves,,,291
2488-carbon-steel-oven-bakeware-baking-set,2488 Carbon Steel Oven Bakeware Baking Set,Title,Default Title,,,,,2488_5Pc_Bakeware_Set,,,0
1747-bricklaying-trowel-wooden-handle-round-shape,1747 Bricklaying trowel wooden handle round shape (12 Inch),Title,Default Title,,,,,1747_12in_Bricklaying_Trowel,,,266
2568-plastic-storage-container-set-with-opening-mouth,2568 Plastic Storage container Set with Opening Mouth,Title,Default Title,,,,,2568_4Pc_Kit_kat_Container,,,96
2575-space-saver-spice-rack-6-piece-spice-set,2575 Space Saver Spice Rack  9 Piece Spice Set,Title,Default Title,,,,,2575_9Pc_Round_Spice_Rack,,,190
2574-space-saver-spice-rack-6-piece-spice-set-plastic,2574 Space Saver Spice Rack  6 Piece Spice Set  (Plastic),Title,Default Title,,,,,2574_6Pc_Round_Spice_Rack,,,33
aluminium-fry-pan-pot,2496 Premium quality Aluminium fry Pan Pot,Title,Default Title,,,,,2496_23inch_Frying_Pot_Pan,,,844
2562-jumbo-stainless-steel-potato-and-chips-maker-slicer-for-kitchen,2562 Jumbo Stainless Steel Potato and Chips Maker & Slicer for Kitchen,Title,Default Title,,,,,2562_2in1_SS_Jumbo_Slicer,,,264
2569-stainless-steel-wire-whisk-balloon-whisk-egg-frother-milk-egg-beater-8-inch,"2569 Stainless Steel Wire Whisk,Balloon Whisk,Egg Frother, Milk & Egg Beater (8 inch)",Title,Default Title,,,,,2569_N1_8inch_SS_Whisk,,,1009
1746-garden-sharp-cutter-pruners-scissor-with-grip-handle,1746 Garden Sharp Cutter Pruners Scissor with grip-handle,Title,Default Title,,,,,1746_8inch_Pruning_Shears,,,83
2571-stainless-steel-wire-whisk-balloon-whisk-egg-frother-milk-egg-beater-10-inch,"2571 Stainless Steel Wire Whisk,Balloon Whisk,Egg Frother, Milk & Egg Beater (10 inch)",Title,Default Title,,,,,2571_N3_10inch_SS_Whisk,,,573
2573-round-shape-carbon-steel-muffin-cupcake-mould-case-bakeware,2573 Round Shape Carbon steel Muffin Cupcake Mould Case Bakeware,Title,Default Title,,,,,2573_6_Cavity_Brownie_Pan,,,403
1288-womens-cotton-secret-cami,1288 Women's Cotton Secret Cami,Title,Default Title,,,,,1288_3Pc_Cami_Secret,,,360
2485-portable-usb-rechargeable-electric-chopper-fruit-vegetable-onion-chopper-garlic-chopper-1,2485 Portable USB Rechargeable Electric Chopper Fruit Vegetable Onion Chopper Garlic Chopper,Title,Default Title,,,,,2485_Usb_Chooper_250Ml,,,428
1689-multipurpose-strong-small-stainless-steel-adhesive-wall-hooks-1,1693 Water Spray Gun Trigger High Pressure Water Spray Gun for Car/Bike/Plants,Title,Default Title,,,,,1693_Gold_Plated_Spray_Gun,,,336
4694-glue-dots-for-happy-birthday-wedding-anniversary-baby-shower-decoration,"4694 Glue Dots for Happy Birthday, Wedding, Anniversary, Baby Shower Decoration",Title,Default Title,,,,,4694_Balloon_Glue_Dot,,,5730
1689-multipurpose-strong-small-stainless-steel-adhesive-wall-hooks,1689 Multipurpose Strong Small Stainless Steel Adhesive Wall Hooks,Title,Default Title,,,,,1689_SS_Wall_Flower_Hook,,,2582
4608-heart-pop-it-fidget-toys-push-pop-bubble-fidget-sensory-toy,"4608 Heart Pop It Fidget Toys,Push Pop Bubble Fidget Sensory Toy",Title,Default Title,,,,,4608_Heart_Fidget_Toy,,,100
1287-cool-day-white-decorative-fan-blade-shaped-foldable-led-bulb,1287 Cool Day White Decorative Fan Blade Shaped Foldable LED Bulb,Title,Default Title,,,,,1287_Fan_Blade_LED_Bulb,,,0
4609-octagon-pop-it-fidget-toys-push-pop-bubble-fidget-sensory-toy,"4609 Octagon Pop It Fidget Toys,Push Pop Bubble Fidget Sensory Toy",Title,Default Title,,,,,4609_Octagon_Fidget_Toy,,,110
1736-multipurpose-stainless-steal-hanger-strip-hooks-6-pin,1736 Multipurpose Stainless Steal Hanger Strip Hooks (6 Pin),Title,Default Title,,,,,1736_SS_6Pin_Hook_Rail,,,0
4689-plastic-cake-candy-pastry-decorating-baking-icing-smoother,4689 Plastic Cake Candy Pastry Decorating Baking Icing Smoother,Title,Default Title,,,,,4689_Plastic_Cake_Smoother,,,442
1737-multipurpose-stainless-steal-hanger-strip-hooks-8-pin,1737 Multipurpose Stainless Steal Hanger Strip Hooks (8 Pin),Title,Default Title,,,,,1737_SS_8Pin_Hook_Rail,,,0
1483-2-in-1-training-foldable-ladder-potty-toilet-seat-for-kids,1483 2 in 1 Training Foldable Ladder Potty Toilet Seat for Kids,Title,Default Title,,,,,1483_Toilet_Seat_Ladder,,,0
2572-chopping-board-with-knife-set-pack-of-5,2572 Chopping Board with Knife Set (Pack of 5),Title,Default Title,,,,,2572_5Pc_Chop_Board_Knife_Set,,,0
4696-round-pop-it-fidget-toys-push-pop-bubble-fidget-sensory-toy,"4696 Square Pop It Fidget Toys,Push Pop Bubble Fidget Sensory Toy",Title,Default Title,,,,,4696_Square_Fidget_Toy,,,100
4695-heart-pop-it-fidget-toys-push-pop-bubble-fidget-sensory-toy,"4695 Round Pop It Fidget Toys,Push Pop Bubble Fidget Sensory Toy",Title,Default Title,,,,,4695_Round_Fidget_Toy,,,146
4693-portable-fan-neck-fan-hands-free-personal-fan,4693 Portable Fan Neck Fan Hands Free Personal Fan,Title,Default Title,,,,,4693_LED_Wearable_Sport_Fan,,,863
1697-magic-toy-metal-high-elasticity-steel-silver-appearing-cane-magic-toy-magic-steel,1697 Magic Toy Metal High Elasticity Steel Silver Appearing Cane Magic Toy Magic Steel,Title,Default Title,,,,,1697_Magic_Appearing_Stick,,,102
1481-wireless-security-cctv-false-outdoor-fake-dummy-piece-ir-camera,1481 Wireless Security CCTV False Outdoor Fake Dummy Piece IR Camera,Title,Default Title,,,,,1481_Dummy_IR_Camera,,,940
1488-solar-led-owl-hanging-waterproof-outdoor-garden-resin-pendant-light,1488 Solar LED Owl Hanging Waterproof Outdoor Garden Resin Pendant Light (2Pc),Title,Default Title,,,,,1488_Owls_Solar_Light_2Pc,,,0
1286-phone-holder-for-table-foldable-universal-mobile-stand-for-desk,"1286 Phone Holder for Table, Foldable Universal Mobile Stand for Desk",Title,Default Title,,,,,1286_Desk_Phone_Holder,,,218
1743-deer-head-self-adhesive-wall-door-hook-hanger,1743 Deer Head Self Adhesive Wall Door Hook Hanger,Title,Default Title,,,,,1743_Deer_Head_Hanger,,,56
8027-plastic-cricket-bat-ball-set-for-boys-and-girls,8027 Plastic Cricket Bat Ball Set for Boys and Girls,Title,Default Title,,,,,8027_Mini_T20_Cricket_Set,,,0
2558-portable-seal-pour-food-storage-bag-clip-snack-sealing-clip,2558 Portable Seal Pour Food Storage Bag Clip Snack Sealing Clip,Title,Default Title,,,,,2558_4Pc_Seal_Pour_Food_Clip,,,108
2564-glossy-finish-ceramic-coffee-tea-milk-plain-mug-350ml,2564 Glossy Finish  Coffee Tea Milk Plain Mug 350ml,Title,Default Title,,,,,2564_4Pc_Coffee_Mug_350Ml,,,92
7610-3-in-1-multi-function-stainless-steel-cake-icing-spatula-knife-set,7610 3-in-1 Multi-Function Stainless Steel Cake Icing Spatula Knife Set,Title,Default Title,,,,,7610_3Pc_Cake_Icing_Set_Box,,,503
foldable-laptop-table-computer-stand-reading-holder-for-couch-floor-black,"8008 Foldable Laptop Table,Computer Stand Reading Holder for Couch Floor, Black",Title,Default Title,,,,,8008_Black_LTT_10,,,0
7611-garden-genie-gloves,7611 Garden Genie Gloves,Title,Default Title,,,,,7611_Purple_Garden_Gloves,,,419
5010-business-startup-kit,5010 Business Startup kit,Title,Default Title,,,,,5010_Startupkit_2000Rs,,,0
7807-hazelnuts-chocolate-96-gms,7807 Hazelnuts Chocolate (96 Gms),Title,Default Title,,,,,7807_eh_96_can,,,0
2560-pot-stand-for-home-garden-balcony-living-room-decor,2560 Pot Stand for Home Garden Balcony Living Room Decor,Title,Default Title,,,,,2560_SS_Mataka_Stand,,,115
7810-peanut-chocolate-96-gms,7810 Peanut Chocolate (96 Gms),Title,Default Title,,,,,7810_ep_96_can,,,0
0372-digital-thermometer,0372 Digital Thermometer,Title,Default Title,,,,,0372_cm_digital_thermometer,,,1335
2433-veg-drill-vegetable-spiralizer-digging-for-stuffed-vegetables,2433 Veg Drill Vegetable Spiralizer Digging for Stuffed Vegetables,Title,Default Title,,,,,2433_Vegetable_Drill_Cutter,,,1274
1740-gardening-hoe-tool-with-handle,1740 Gardening Hoe Tool with Handle,Title,Default Title,,,,,1740_Pre_Hand_Draw_Hoe,,,527
1738-mini-car-trash-bin-can-holder-dustbin,1738 Mini Car Trash Bin Can Holder Dustbin,Title,Default Title,,,,,1738_Car_Dustbin_Loose,,,0
1741-stainless-steel-tooth-garden-leaf-rake,1741 Stainless Steel Tooth Garden Leaf Rake,Title,Default Title,,,,,1741_Premium_Leaf_Rake,,,357
2561-insulated-with-inner-stainless-steel-serving-casserole-with-lid,2561 Insulated With Inner Stainless Steel Serving Casserole with Lid,Title,Default Title,,,,,2561_Casserole_2000Ml,,,0
avengers-foldable-laptop-table-for-online-study-and-childrens,8007 Avengers Foldable Laptop Table for Online Study and Childrens,Title,Default Title,,,,,8007_Avengers_LTT_08,,,0
8006-multipurpose-foldable-laptop-table,8006 Multipurpose Foldable Laptop Table,Title,Default Title,,,,,8006_Barbie_LTT_06,,,0
7806-chocolate-almonds-96-gms,7806 Chocolate almonds (96 GMs),Title,Default Title,,,,,7806_ea_96_can,,,0
1670-mop-and-broom-holder-2,1670 Mop and Broom Holder ( Loose Pack),Title,Default Title,,,,,1670_Loose_Broom_Holder,,,2763
1739-floor-cleaning-spray-mop-with-removable-washable-cleaning-pad,1739  Floor Cleaning Spray Mop with Removable Washable Cleaning Pad,Title,Default Title,,,,,1739_Cn_Aurora_Spray_Mop,,,76
2567-stainless-steel-sev-sancha-machine-muruku-maker-1,2567 Stainless Steel Sev Sancha Machine/Muruku Maker,Title,Default Title,,,,,2567_SS_Namkeen_Press_Maker,,,0
7813-chocolate-butterscotch-32-gms,7813 Chocolate Butterscotch (32 Gms),Title,Default Title,,,,,7813_eb_32_box,,,0
7219-reusable-and-washable-anti-pollution-virus-face-pink-mask,7219 Reusable and Washable Anti Pollution/Virus Face Pink Mask,Title,Default Title,,,,,7219_Pink_Mask_100Pc,,,0
1388-disposable-ear-loop-elastic-face-mask-100-pc-1,1388 Disposable Ear Loop Elastic Face Mask (100 Pc),Title,Default Title,,,,,1388_Face_Mask_100Pc,,,0
4692-high-speed-multicolor-cube-pack-of-12,4692 High Speed Multicolor Cube (Pack of 12),Title,Default Title,,,,,4692_12Pc_Small_Cube,,,1426
7814-chocolate-peanuts-32-gms,7814 Chocolate peanuts (32 Gms),Title,Default Title,,,,,7814_ep_32_box,,,0
8004-multipurpose-foldable-laptop-table,8004 Multipurpose Foldable Laptop Table,Title,Default Title,,,,,8004_Ludo_LTT_04,,,0
8003-multipurpose-foldable-laptop-table,8003 Multipurpose Foldable Laptop Table,Title,Default Title,,,,,8003_Flower_LTT_02,,,0
2559-pot-stand-for-home-garden-balcony-living-room-decor,2559 Pot Stand for Home Garden Balcony Living Room Decor,Title,Default Title,,,,,2559_Premium_SS_Pot_Stand,,,45
1735-high-pressure-bicycle-air-pump-tyre-inflator-for-cycles,1735 High Pressure Bicycle Air Pump Tyre Inflator for Cycles,Title,Default Title,,,,,1735_Bicycle_Air_Pump,,,211
7218-wireless-bluetooth-portable-mobile-speaker-multicolour,7218 Wireless/Bluetooth Portable Mobile Speaker (Multicolour),Title,Default Title,,,,,7218_B_Speaker_BS_1069,,,0
8022-plastic-cricket-bat-ball-set-for-boys-and-girls-1,8026 Plastic Cricket Bat Ball Set for Boys and Girls,Title,Default Title,,,,,8026_N1_Bat_Ball_Set,,,33
8025-table-tennis-racquet-with-ball-perfect-kids-toy-and-game-accessories,8025 Table Tennis Racquet with Ball Perfect Kids Toy and Game Accessories,Title,Default Title,,,,,8025_N1_Table_Tennis_Set,,,238
2565-stainless-steel-home-kitchen-anti-scald-plate-take-bowl-dish-pot-holder,2565 Stainless Steel Home Kitchen Anti-Scald Plate Take Bowl Dish Pot Holder,Title,Default Title,,,,,2565_Cn_Kitchen_Bowl_Holder,,,0
silicone-anti-slip-food-grade-round-coasters-trivets-mat-pads,4690 Silicone Anti Slip Food Grade Round Coasters Trivets Mat Pads,Title,Default Title,,,,,4690_4Pc_Big_Sili_Hot_Mate,,,343
2563-wall-mounted-oil-dispenser-bottle,2563 Wall Mounted Oil Dispenser Bottle,Title,Default Title,,,,,2563_Wall_M_Oil_Dispenser,,,0
7808_as_96_can-chocolates,"7808_Effete Assorted Chocolate Dryfruits - Almonds, Peanut & Butterscotch",Title,Default Title,,,,,7808_as_96_can,,,0
2557-handle-clip-function-design-abs-food-grade-materials-pet-food-shovel,2557 Handle Clip Function Design ABS Food-Grade Materials Pet Food Shovel,Title,Default Title,,,,,2557_Pet_Food_Spoon,,,3752
8024-combo-of-light-weight-plastic-bat-ball-hockey-for-kids-boys-indoor-outdoor-play,"8023 Combo of Light Weight Plastic Bat, Ball & Hockey for Kids",Title,Default Title,,,,,8023_J_Cricket_Hockey_Cmb,,,48
8022-plastic-cricket-bat-ball-set-for-boys-and-girls,8022 Plastic Cricket Bat Ball Set for Boys and Girls,Title,Default Title,,,,,8022_C_Bat_Ball_Set,,,0
8021-plastic-cricket-bat-ball-set-for-boys-and-girls,8021 Plastic Cricket Bat Ball Set for Boys and Girls,Title,Default Title,,,,,8021_B_Bat_Ball_Set,,,0
2556-creative-snack-dish-five-trellised-family-fruit-dessert-set,"2556 Creative Snack Dish, Five trellised Family Fruit Dessert set",Title,Default Title,,,,,2556_3in1_Fruit_Plates,,,217
2552-peeler-knife-combo-for-home-kitchen-pack-of-12,2552 Peeler Knife Combo for Home & Kitchen (Pack of 12),Title,Default Title,,,,,2552_12Pc_Peeler_Knife_Cmb,,,0
2554-plastic-foldable-pick-n-move-strong-step-stool-table-23-inches,"2554 Plastic Foldable Pick n Move Strong Step Stool Table, 23 Inches",Title,Default Title,,,,,2554_23inch_Folding_Stool,,,361
2551-multipurpose-top-kitchen-knife-for-home-and-restaurant-12pcs-set,2551 Multipurpose Top Kitchen Knife for Home and Restaurant (12Pcs Set),Title,Default Title,,,,,2551_12Pc_K_Knife_N211,,,28
2555-multi-segment-2-in-1-egg-cutter-slicer-1,2555 Multi-Segment 2 in 1 Egg Cutter/Slicer,Title,Default Title,,,,,2555_Ind_2in1_Egg_Cutter,,,382
2553-2-in-1-vegetable-and-fruits-cutter-chopper-1,2553 2-in-1 Vegetable and Fruits Cutter/Chopper,Title,Default Title,,,,,2553_2in1_Veg_Cutter,,,847
4686-pen-phone-holder-compatible-with-universal-smartphones,4686 Pen Phone Holder Compatible with Universal Smartphones,Title,Default Title,,,,,4686_2in1_Pen_Stand,,,0
1320-adjustable-laptop-stand-holder-with-built-in-foldable-legs-and-high-quality-fibre,1320 Adjustable Laptop Stand Holder with Built-in Foldable Legs and High Quality Fibre,Title,Default Title,,,,,1320_Adjustable_Laptop_Stand,,,106
4683-flower-shape-portable-soap-dish-holder-soap-case,4683 Flower Shape Portable Soap Dish Holder Soap Case,Title,Default Title,,,,,4683_Flower_Soap_Dish,,,69
8020-hoops-hula-interlocking-exercise-ring-for-fitness-with-dia-meter-boys-girls-and-adults,8020 Hoops Hula Interlocking Exercise Ring for Fitness with Dia Meter Boys Girls and Adults,Title,Default Title,,,,,8020_Mini_Hula_Hoop_Rings,,,59
8018-hoops-hula-interlocking-exercise-ring-for-fitness-with-dia-meter-boys-girls-and-adults-1,8019 Hoops Hula Interlocking Exercise Ring for Fitness with Dia Meter Boys Girls and Adults,Title,Default Title,,,,,8019_Super_Hula_Hoop_Rings,,,47
8018-hoops-hula-interlocking-exercise-ring-for-fitness-with-dia-meter-boys-girls-and-adults,8018 Hoops Hula Interlocking Exercise Ring for Fitness with Dia Meter Boys Girls and Adults,Title,Default Title,,,,,8018_Delux_Hula_Hoop_Rings,,,0
8017-plastic-baby-kids-teddy-stacking-ring-jumbo-stack-up-educational-toy-5pc,8017 Plastic Baby Kids Teddy Stacking Ring Jumbo Stack Up Educational Toy 5pc,Title,Default Title,,,,,8017_N1_5Pc_Teddy_Rings,,,0
