PRODUCT NAME,CATEGORY,Variant SKU,prod code,HSN CODE,GST%,MRP,DISCOUNT,SELLING RATE WITHOUT GST,Image Src
6014 Lantern Shape Decorative Led Lamp Set of 24pcs,Home Decor,6014_24Pc_Lantern_Lamp_Chain,6014,940520,18%,600,0,508,https://cdn.shopify.com/s/files/1/1916/9825/products/6014.jpg?v=1634044383
"7009 Multipurpose Manual Hand Held Vegetable Chopper, Cutter, Slicer with Storage Lid - 400 ml (Grey Color)",Kitchen,7009_450Ml_Grey_Chopper,7009,392410,18%,500,40,254,https://cdn.shopify.com/s/files/1/1916/9825/products/7009SKUCODE.jpg?v=1617332713
7030  Stainless Steel Garlic Press Crusher,Kitchen Tools,7030_Loose_SS_Garlic_Press,7030,392410,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/7030_1.jpg?v=1632834837
7033 Square Shape Carbon Steel Non-stick Baking Tray (17 inch),Kitchen,7033_17inch_Squ_Baking_Tray,7033,732393,12%,600,5,509,https://cdn.shopify.com/s/files/1/1916/9825/products/7033.jpg?v=1633762442
7034 Round Shape Carbon Steel Non-stick Baking Tray (11 Inch),Kitchen,7034_11inch_Round_B_Tray,7034,732393,12%,500,10,401,https://cdn.shopify.com/s/files/1/1916/9825/products/7034.jpg?v=1633764147
7035 Square Shape Carbon Steel Non-stick Baking Tray (15 inch),Kitchen,7035_15inch_Squ_Baking_Tray,7035,732393,12%,600,15,455,https://cdn.shopify.com/s/files/1/1916/9825/products/7035_1.jpg?v=1633762660
7218 Wireless/Bluetooth Portable Mobile Speaker (Multicolour),Mobile Accessories,7218_B_Speaker_BS_1069,7218,392690,18%,2000,30,1186,https://cdn.shopify.com/s/files/1/1916/9825/products/1_ff8d6ef0-5065-4f52-aebf-c53916b7b2f2_1.jpg?v=1632137216
7220 Designer Mobile Pop Holder (100 units),,7220_100Pc_Mobile_Pop,7220,392690,18%,1500,50,635,https://cdn.shopify.com/s/files/1/1916/9825/products/07_c9a1ba4e-957b-4bf9-9608-8e573a80b322_2.jpg?v=1633091598
"7221 Festival Decorative - LED Tealight Candles (White, 24 Pcs)",Home Decor,7221_White_Color_Tealight,7221,940530,18%,1000,45,466,https://cdn.shopify.com/s/files/1/1916/9825/products/722104.jpg?v=1632749574
7223 Universal Dashboard Mobile Holder with 360* Rotating Mount,Mobile Holder & Stand,7223_Car_Tab_Holder_C11,7223,392690,18%,300,0,254,https://cdn.shopify.com/s/files/1/1916/9825/products/7223_1.jpg?v=1634033336
"7413 Multi-Level Back Stretching Device,Back Massager Lumbar Support","Beauty, Health & Personal Care",7413_Cn_back_stretcher_Box,7413,392620,18%,500,15,360,https://cdn.shopify.com/s/files/1/1916/9825/products/741301.jpg?v=1629392351
7605 Cube Combo Set (Pack of 20) (Multi Coloured),Toys For Kids,7605_20Pc_Antic_Cube,7605,392690,18%,600,15,432,https://cdn.shopify.com/s/files/1/1916/9825/products/7605SKUCODE.jpg?v=1614288975
"7607 Bubble Stick with Windmill Fan Toy for Kids (Multicolors, Pack of 24)",Toys For Kids,7607_AT10_Bubbles_Wand_24Pcs,7607,950300,18%,1000,5,805,https://cdn.shopify.com/s/files/1/1916/9825/products/460701.jpg?v=1627574277
7806 Chocolate almonds (96 GMs),,7806_ea_96_can,7806,180610,18%,500,35,275,https://cdn.shopify.com/s/files/1/1916/9825/products/780601.jpg?v=1632290994
8006 Multipurpose Foldable Laptop Table,Home Improvement,8006_Foldable_Barbie_Table,8006,392490,18%,2000,55,763,https://cdn.shopify.com/s/files/1/1916/9825/products/8006.jpg?v=1632299884
8007 Avengers Foldable Laptop Table for Online Study and Childrens,Home Improvement,8007_Foldable_Avengers_Table,8007,392490,18%,2000,55,763,https://cdn.shopify.com/s/files/1/1916/9825/products/800708.jpg?v=1632313767
8008L Foldable Black Table (Loose Pack),Home Improvement,8008L_Foldable_Black_Table,8008,392490,18%,1000,25,635,https://cdn.shopify.com/s/files/1/1916/9825/products/8008L.jpg?v=1632829887
"8008 Foldable Laptop Table,Computer Stand Reading Holder for Couch Floor, Black",Home Improvement,8008_Foldable_Black_Table,8008,392490,18%,2000,60,678,https://cdn.shopify.com/s/files/1/1916/9825/products/8008.jpg?v=1632390999
8015 Plastic Baby Kids Teddy Stacking Ring Jumbo Stack Up Educational Toy 9pc,Toys For Kids,8015_N3_9Pc_Teddy_Rings,8015,950300,12%,500,10,401,https://cdn.shopify.com/s/files/1/1916/9825/products/1_9d9c0e37-f7a5-4d61-a759-238784c274b0.jpg?v=1631625692
